repo,module,dependabot_compile_success,dependabot_test_pass,original_tech_lag,dependabot_current_tech_lag,dependabot_reduced_tech_lag,original_dep_count,dependabot_current_dep_count,dependabot_reduced_dep_count
mall,mall-common,True,True,2724,2696.0,28,92,92.0,0
mall,mall-security,True,True,2987,2959.0,28,99,99.0,0
dubbo,dubbo-test/dubbo-test-common,True,True,35,87.0,-52,15,44.0,-29
dubbo,dubbo-test/dubbo-test-modules,True,True,2,0.0,2,5,5.0,0
dubbo,dubbo-serialization/dubbo-serialization-hessian2,True,True,2,0.0,2,8,8.0,0
dubbo,dubbo-metrics/dubbo-metrics-event,True,True,2,0.0,2,5,5.0,0
dubbo,dubbo-metrics/dubbo-metrics-config-center,True,True,2,0.0,2,16,16.0,0
dubbo,dubbo-metrics/dubbo-metrics-netty,True,True,2,0.0,2,16,16.0,0
dubbo,dubbo-plugin/dubbo-auth,True,True,2,0.0,2,8,8.0,0
dubbo,dubbo-plugin/dubbo-compiler,True,True,18,31.0,-13,21,21.0,0
dubbo,dubbo-plugin/dubbo-filter-cache,True,True,2,0.0,2,9,4.0,5
dubbo,dubbo-remoting/dubbo-remoting-api,True,True,2,0.0,2,6,1.0,5
dubbo,dubbo-cluster,True,True,2,0.0,2,20,14.0,6
dubbo,dubbo-rpc/dubbo-rpc-api,True,False,2,0.0,2,7,2.0,5
dubbo,dubbo-rpc/dubbo-rpc-injvm,True,False,2,0.0,2,8,3.0,5
dubbo,dubbo-demo/dubbo-demo-spring-boot/dubbo-demo-spring-boot-interface,True,True,0,0.0,0,0,0.0,0
netty,testsuite-autobahn,True,True,0,0.0,0,13,13.0,0
netty,testsuite-http2,True,True,0,0.0,0,14,14.0,0
netty,codec-dns,True,True,0,0.0,0,8,8.0,0
netty,codec-haproxy,True,True,0,0.0,0,8,8.0,0
netty,codec-memcache,True,True,0,0.0,0,8,8.0,0
netty,codec-mqtt,True,True,0,0.0,0,8,8.0,0
netty,codec-redis,True,True,0,0.0,0,8,8.0,0
netty,codec-smtp,True,True,0,0.0,0,8,8.0,0
netty,codec-stomp,True,True,0,0.0,0,8,8.0,0
netty,codec-socks,True,True,0,0.0,0,8,8.0,0
netty,codec-xml,True,True,0,13.0,-13,10,5.0,5
netty,transport-rxtx,True,True,0,0.0,0,6,4.0,2
netty,transport-udt,True,True,0,0.0,0,6,3.0,3
netty,example,True,True,72,209.0,-137,53,54.0,-1
java-design-patterns,monad,True,True,7,0.0,7,3,3.0,0
java-design-patterns,value-object,True,True,7,0.0,7,3,3.0,0
java-design-patterns,ambassador,True,True,7,0.0,7,3,3.0,0
java-design-patterns,model-view-controller,True,True,7,0.0,7,3,3.0,0
java-design-patterns,bridge,True,True,7,0.0,7,3,3.0,0
java-design-patterns,facade,True,True,7,0.0,7,3,3.0,0
java-design-patterns,event-driven-architecture,True,True,7,0.0,7,3,3.0,0
java-design-patterns,lockable-object,True,True,7,0.0,7,3,3.0,0
java-design-patterns,collection-pipeline,True,True,7,0.0,7,3,3.0,0
java-design-patterns,interpreter,True,True,7,0.0,7,3,3.0,0
java-design-patterns,resource-acquisition-is-initialization,True,True,7,0.0,7,3,3.0,0
java-design-patterns,page-controller,True,False,314,307.0,7,39,39.0,0
java-design-patterns,version-number,True,True,7,0.0,7,3,3.0,0
java-design-patterns,data-locality,True,True,7,0.0,7,3,3.0,0
java-design-patterns,double-checked-locking,True,True,7,0.0,7,3,3.0,0
java-design-patterns,repository,True,True,351,344.0,7,69,69.0,0
java-design-patterns,composite-entity,True,True,7,0.0,7,3,3.0,0
java-design-patterns,gateway,True,True,7,0.0,7,3,3.0,0
java-design-patterns,master-worker,True,True,7,0.0,7,3,3.0,0
java-design-patterns,multiton,True,True,7,0.0,7,3,3.0,0
java-design-patterns,monostate,True,True,7,0.0,7,3,3.0,0
java-design-patterns,trampoline,True,True,7,0.0,7,3,3.0,0
java-design-patterns,notification,True,True,7,0.0,7,3,3.0,0
java-design-patterns,singleton,True,True,7,0.0,7,3,3.0,0
java-design-patterns,throttling,True,True,7,0.0,7,3,3.0,0
java-design-patterns,producer-consumer,True,True,7,0.0,7,3,3.0,0
java-design-patterns,component,True,True,7,0.0,7,3,3.0,0
java-design-patterns,object-pool,True,True,7,0.0,7,3,3.0,0
java-design-patterns,table-module,True,True,12,5.0,7,4,4.0,0
java-design-patterns,optimistic-offline-lock,True,True,7,0.0,7,3,3.0,0
java-design-patterns,flux,True,True,7,0.0,7,3,3.0,0
java-design-patterns,delegation,True,True,7,0.0,7,3,3.0,0
java-design-patterns,extension-objects,True,True,7,0.0,7,3,3.0,0
java-design-patterns,anti-corruption-layer,True,True,605,598.0,7,18,18.0,0
java-design-patterns,dynamic-proxy,True,True,242,232.0,10,10,10.0,0
java-design-patterns,caching,True,True,122,115.0,7,8,8.0,0
java-design-patterns,bytecode,True,True,7,0.0,7,3,3.0,0
java-design-patterns,servant,True,True,7,0.0,7,3,3.0,0
java-design-patterns,visitor,True,True,7,0.0,7,3,3.0,0
java-design-patterns,null-object,True,True,7,0.0,7,3,3.0,0
java-design-patterns,fluent-interface,True,True,7,0.0,7,3,3.0,0
java-design-patterns,event-sourcing,True,False,26,16.0,10,6,6.0,0
java-design-patterns,reactor,True,True,7,0.0,7,3,3.0,0
java-design-patterns,fanout-fanin,True,True,7,0.0,7,3,3.0,0
java-design-patterns,client-session,True,True,7,0.0,7,3,3.0,0
java-design-patterns,half-sync-half-async,True,True,7,0.0,7,3,3.0,0
java-design-patterns,promise,True,True,7,0.0,7,3,3.0,0
java-design-patterns,saga,True,True,7,0.0,7,3,3.0,0
java-design-patterns,transaction-script,True,True,12,5.0,7,4,4.0,0
java-design-patterns,poison-pill,True,True,7,0.0,7,3,3.0,0
java-design-patterns,data-transfer-object,True,True,7,0.0,7,3,3.0,0
java-design-patterns,data-mapper,True,True,7,0.0,7,3,3.0,0
java-design-patterns,builder,True,True,7,0.0,7,3,3.0,0
java-design-patterns,health-check,True,False,543,536.0,7,71,71.0,0
java-design-patterns,specification,True,True,7,0.0,7,3,3.0,0
java-design-patterns,strangler,True,True,7,0.0,7,3,3.0,0
java-design-patterns,queue-based-load-leveling,True,True,7,0.0,7,3,3.0,0
java-design-patterns,converter,True,True,7,0.0,7,3,3.0,0
java-design-patterns,collecting-parameter,True,True,7,0.0,7,3,3.0,0
java-design-patterns,proxy,True,True,7,0.0,7,3,3.0,0
java-design-patterns,serialized-entity,True,True,12,5.0,7,4,4.0,0
java-design-patterns,business-delegate,True,True,7,0.0,7,3,3.0,0
java-design-patterns,combinator,True,True,7,0.0,7,3,3.0,0
java-design-patterns,layered-architecture,True,False,276,269.0,7,50,50.0,0
java-design-patterns,data-access-object,True,True,12,5.0,7,4,4.0,0
java-design-patterns,abstract-document,True,True,7,0.0,7,3,3.0,0
java-design-patterns,virtual-proxy,True,True,7,0.0,7,3,3.0,0
java-design-patterns,async-method-invocation,True,True,7,0.0,7,3,3.0,0
java-design-patterns,observer,True,True,7,0.0,7,3,3.0,0
java-design-patterns,filterer,True,True,7,0.0,7,3,3.0,0
java-design-patterns,identity-map,True,True,7,0.0,7,3,3.0,0
java-design-patterns,object-mother,True,True,7,0.0,7,3,3.0,0
java-design-patterns,factory-method,True,True,7,0.0,7,3,3.0,0
java-design-patterns,special-case,True,True,7,0.0,7,3,3.0,0
java-design-patterns,chain-of-responsibility,True,True,7,0.0,7,3,3.0,0
java-design-patterns,memento,True,True,7,0.0,7,3,3.0,0
java-design-patterns,mediator,True,True,7,0.0,7,3,3.0,0
java-design-patterns,abstract-factory,True,True,7,0.0,7,3,3.0,0
java-design-patterns,callback,True,True,7,0.0,7,3,3.0,0
java-design-patterns,domain-model,True,True,13,6.0,7,5,5.0,0
java-design-patterns,data-bus,True,True,7,0.0,7,3,3.0,0
java-design-patterns,leader-election,True,True,7,0.0,7,3,3.0,0
java-design-patterns,service-to-worker,True,True,7,0.0,7,4,4.0,0
java-design-patterns,acyclic-visitor,True,True,7,0.0,7,3,3.0,0
java-design-patterns,registry,True,True,7,0.0,7,3,3.0,0
java-design-patterns,front-controller,True,True,7,0.0,7,3,3.0,0
java-design-patterns,model-view-intent,True,True,7,0.0,7,3,3.0,0
java-design-patterns,type-object,True,True,15,8.0,7,5,5.0,0
java-design-patterns,decorator,True,True,7,0.0,7,3,3.0,0
java-design-patterns,service-locator,True,True,7,0.0,7,3,3.0,0
java-design-patterns,composite,True,True,7,0.0,7,3,3.0,0
java-design-patterns,strategy,True,True,7,0.0,7,3,3.0,0
java-design-patterns,flyweight,True,True,7,0.0,7,3,3.0,0
java-design-patterns,server-session,True,True,7,0.0,7,3,3.0,0
java-design-patterns,subclass-sandbox,True,True,7,0.0,7,3,3.0,0
java-design-patterns,dirty-flag,True,True,7,0.0,7,3,3.0,0
java-design-patterns,twin,True,True,7,0.0,7,3,3.0,0
java-design-patterns,active-object,True,True,7,0.0,7,3,3.0,0
java-design-patterns,double-buffer,True,True,12,5.0,7,4,4.0,0
java-design-patterns,game-loop,True,True,7,0.0,7,3,3.0,0
java-design-patterns,context-object,True,True,7,0.0,7,3,3.0,0
java-design-patterns,template-method,True,True,7,0.0,7,3,3.0,0
java-design-patterns,separated-interface,True,True,7,0.0,7,3,3.0,0
java-design-patterns,commander,True,True,7,0.0,7,3,3.0,0
java-design-patterns,step-builder,True,True,7,0.0,7,3,3.0,0
java-design-patterns,state,True,True,7,0.0,7,3,3.0,0
java-design-patterns,tolerant-reader,True,True,7,0.0,7,3,3.0,0
java-design-patterns,guarded-suspension,True,True,7,0.0,7,3,3.0,0
java-design-patterns,sharding,True,True,7,0.0,7,3,3.0,0
java-design-patterns,property,True,True,7,0.0,7,3,3.0,0
java-design-patterns,balking,True,True,7,0.0,7,3,3.0,0
java-design-patterns,currying,True,True,7,0.0,7,3,3.0,0
java-design-patterns,event-aggregator,True,True,7,0.0,7,3,3.0,0
java-design-patterns,leader-followers,True,True,7,0.0,7,3,3.0,0
java-design-patterns,partial-response,True,True,7,0.0,7,3,3.0,0
java-design-patterns,update-method,True,True,7,0.0,7,3,3.0,0
java-design-patterns,private-class-data,True,True,7,0.0,7,3,3.0,0
java-design-patterns,prototype,True,True,7,0.0,7,3,3.0,0
java-design-patterns,serialized-lob,True,True,9,5.0,4,4,4.0,0
java-design-patterns,retry,True,True,7,0.0,7,3,3.0,0
java-design-patterns,mute-idiom,True,True,7,0.0,7,3,3.0,0
java-design-patterns,role-object,True,True,7,0.0,7,3,3.0,0
java-design-patterns,event-based-asynchronous,True,True,7,0.0,7,3,3.0,0
java-design-patterns,curiously-recurring-template-pattern,True,True,7,0.0,7,3,3.0,0
java-design-patterns,adapter,True,True,7,0.0,7,3,3.0,0
java-design-patterns,pipeline,True,True,7,0.0,7,3,3.0,0
java-design-patterns,circuit-breaker,True,True,7,0.0,7,3,3.0,0
java-design-patterns,factory-kit,True,True,7,0.0,7,3,3.0,0
java-design-patterns,monitor,True,True,7,0.0,7,3,3.0,0
java-design-patterns,double-dispatch,True,True,7,0.0,7,3,3.0,0
java-design-patterns,single-table-inheritance,True,True,303,296.0,7,50,50.0,0
java-design-patterns,unit-of-work,True,True,7,0.0,7,3,3.0,0
java-design-patterns,event-queue,True,True,7,0.0,7,3,3.0,0
java-design-patterns,factory,True,True,7,0.0,7,3,3.0,0
java-design-patterns,execute-around,True,True,7,0.0,7,3,3.0,0
java-design-patterns,command,True,True,7,0.0,7,3,3.0,0
java-design-patterns,spatial-partition,True,True,7,0.0,7,3,3.0,0
java-design-patterns,feature-toggle,True,True,7,0.0,7,3,3.0,0
java-design-patterns,composite-view,True,True,10,0.0,10,4,4.0,0
java-design-patterns,parameter-object,True,True,7,0.0,7,3,3.0,0
java-design-patterns,arrange-act-assert,True,True,7,0.0,7,3,3.0,0
java-design-patterns,iterator,True,True,7,0.0,7,3,3.0,0
java-design-patterns,lazy-loading,True,True,7,0.0,7,3,3.0,0
easyexcel,easyexcel,False,False,48,40.0,8,17,17.0,0
easyexcel,easyexcel-test,False,False,1627,1610.0,17,79,79.0,0
easyexcel,easyexcel-support,False,False,17,0.0,17,2,2.0,0
easyexcel,easyexcel-core,False,False,48,40.0,18,16,16.0,0
nacos,plugin/environment,True,True,0,0.0,0,0,0.0,0
nacos,plugin/trace,True,True,0,0.0,0,0,0.0,0
nacos,plugin/datasource,True,False,0,0.0,0,0,0.0,0
nacos,plugin/encryption,True,True,0,0.0,0,0,0.0,0
nacos,plugin/config,True,True,0,0.0,0,0,0.0,0
nacos,plugin/control,True,True,0,0.0,0,0,0.0,0
nacos,plugin/auth,True,True,0,0.0,0,0,0.0,0
nacos,common,True,False,61,97.0,-36,32,33.0,-1
nacos,client,True,True,73,149.0,-76,49,47.0,2
nacos,logger-adapter-impl/log4j2-adapter,True,True,61,97.0,-36,33,34.0,-1
nacos,logger-adapter-impl/logback-adapter-12,True,False,58,97.0,-39,32,33.0,-1
nacos,consistency,True,True,64,100.0,-36,34,35.0,-1
nacos,plugin-default-impl/nacos-default-control-plugin,True,True,61,97.0,-36,34,35.0,-1
WxJava,weixin-java-cp,True,True,120,64.0,56,22,22.0,0
WxJava,weixin-graal,True,True,2,2.0,0,1,1.0,0
WxJava,spring-boot-starters/wx-java-qidian-spring-boot-starter,True,True,972,324.0,648,34,36.0,-2
WxJava,spring-boot-starters/wx-java-miniapp-multi-spring-boot-starter,True,True,945,297.0,648,34,36.0,-2
WxJava,spring-boot-starters/wx-java-miniapp-spring-boot-starter,True,True,945,297.0,648,34,36.0,-2
WxJava,spring-boot-starters/wx-java-channel-multi-spring-boot-starter,True,True,945,297.0,648,36,38.0,-2
WxJava,spring-boot-starters/wx-java-cp-spring-boot-starter,True,True,945,297.0,648,32,34.0,-2
WxJava,spring-boot-starters/wx-java-open-spring-boot-starter,True,True,945,297.0,648,36,38.0,-2
WxJava,spring-boot-starters/wx-java-channel-spring-boot-starter,True,True,945,297.0,648,36,38.0,-2
WxJava,spring-boot-starters/wx-java-mp-multi-spring-boot-starter,True,True,945,297.0,648,31,33.0,-2
WxJava,spring-boot-starters/wx-java-mp-spring-boot-starter,True,True,1002,354.0,648,33,35.0,-2
WxJava,spring-boot-starters/wx-java-pay-spring-boot-starter,True,True,660,604.0,56,37,37.0,0
WxJava,spring-boot-starters/wx-java-cp-multi-spring-boot-starter,True,True,945,297.0,648,32,34.0,-2
WxJava,weixin-java-miniapp,True,True,120,64.0,56,24,24.0,0
WxJava,weixin-java-mp,True,True,159,81.0,78,27,27.0,0
WxJava,weixin-java-pay,True,True,127,71.0,56,27,27.0,0
WxJava,weixin-java-qidian,True,True,120,64.0,56,21,21.0,0
WxJava,weixin-java-channel,True,True,120,64.0,56,30,30.0,0
WxJava,weixin-java-open,True,True,120,64.0,56,26,26.0,0
WxJava,weixin-java-common,True,True,119,63.0,56,20,20.0,0
WxJava,solon-plugins/wx-java-pay-solon-plugin,True,True,126,70.0,56,29,29.0,0
WxJava,solon-plugins/wx-java-open-solon-plugin,True,True,119,63.0,56,28,28.0,0
WxJava,solon-plugins/wx-java-cp-multi-solon-plugin,True,True,119,63.0,56,24,24.0,0
WxJava,solon-plugins/wx-java-miniapp-multi-solon-plugin,True,True,119,63.0,56,26,26.0,0
WxJava,solon-plugins/wx-java-channel-solon-plugin,True,True,119,63.0,56,28,28.0,0
WxJava,solon-plugins/wx-java-miniapp-solon-plugin,True,True,119,63.0,56,26,26.0,0
WxJava,solon-plugins/wx-java-cp-solon-plugin,True,True,119,63.0,56,24,24.0,0
WxJava,solon-plugins/wx-java-mp-solon-plugin,True,True,176,120.0,56,25,25.0,0
WxJava,solon-plugins/wx-java-channel-multi-solon-plugin,True,True,119,63.0,56,28,28.0,0
WxJava,solon-plugins/wx-java-qidian-solon-plugin,True,True,146,90.0,56,26,26.0,0
WxJava,solon-plugins/wx-java-mp-multi-solon-plugin,True,True,119,63.0,56,23,23.0,0
