repo,module,compile_success,test_pass,original_tech_lag,current_tech_lag,reduced_tech_lag,original_dep_count,current_dep_count,reduced_dep_count
mall,mall-common,True,True,2724,120.0,2604,92,859.0,-767
mall,mall-security,True,True,2987,86.0,2901,99,672.0,-573
dubbo,dubbo-test/dubbo-test-common,True,True,35,0.0,35,15,446.0,-431
dubbo,dubbo-test/dubbo-test-modules,True,True,2,0.0,2,5,5.0,0
dubbo,dubbo-serialization/dubbo-serialization-hessian2,True,True,2,0.0,2,8,8.0,0
dubbo,dubbo-metrics/dubbo-metrics-event,True,True,2,0.0,2,5,5.0,0
dubbo,dubbo-metrics/dubbo-metrics-config-center,True,True,2,0.0,2,16,16.0,0
dubbo,dubbo-metrics/dubbo-metrics-netty,True,True,2,0.0,2,16,16.0,0
dubbo,dubbo-plugin/dubbo-auth,True,True,2,0.0,2,8,8.0,0
dubbo,dubbo-plugin/dubbo-compiler,True,True,18,0.0,18,21,21.0,0
dubbo,dubbo-plugin/dubbo-filter-cache,True,True,2,0.0,2,9,9.0,0
dubbo,dubbo-remoting/dubbo-remoting-api,True,True,2,0.0,2,6,6.0,0
dubbo,dubbo-cluster,True,True,2,0.0,2,20,20.0,0
dubbo,dubbo-rpc/dubbo-rpc-api,True,True,2,0.0,2,7,7.0,0
dubbo,dubbo-rpc/dubbo-rpc-injvm,True,True,2,0.0,2,8,8.0,0
dubbo,dubbo-demo/dubbo-demo-spring-boot/dubbo-demo-spring-boot-interface,True,True,0,0.0,0,0,0.0,0
netty,testsuite-autobahn,True,True,0,0.0,0,13,13.0,0
netty,testsuite-http2,True,True,0,0.0,0,14,14.0,0
netty,codec-dns,True,True,0,0.0,0,8,8.0,0
netty,codec-haproxy,True,True,0,0.0,0,8,8.0,0
netty,codec-memcache,True,True,0,0.0,0,8,8.0,0
netty,codec-mqtt,True,True,0,0.0,0,8,8.0,0
netty,codec-redis,True,True,0,0.0,0,8,8.0,0
netty,codec-smtp,True,True,0,0.0,0,8,8.0,0
netty,codec-stomp,True,True,0,0.0,0,8,8.0,0
netty,codec-socks,True,True,0,0.0,0,8,8.0,0
netty,codec-xml,True,True,0,0.0,0,10,10.0,0
netty,transport-rxtx,True,True,0,0.0,0,6,6.0,0
netty,transport-udt,True,True,0,0.0,0,6,6.0,0
netty,example,True,True,72,11.0,61,53,59.0,-6
java-design-patterns,monad,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,value-object,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,ambassador,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,model-view-controller,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,bridge,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,facade,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,event-driven-architecture,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,lockable-object,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,collection-pipeline,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,interpreter,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,resource-acquisition-is-initialization,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,page-controller,True,False,314,0.0,314,39,50.0,-11
java-design-patterns,version-number,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,data-locality,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,double-checked-locking,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,repository,True,True,351,0.0,351,69,158.0,-89
java-design-patterns,composite-entity,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,gateway,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,master-worker,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,multiton,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,monostate,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,trampoline,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,notification,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,singleton,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,throttling,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,producer-consumer,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,component,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,object-pool,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,table-module,True,True,12,0.0,12,4,10.0,-6
java-design-patterns,optimistic-offline-lock,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,flux,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,delegation,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,extension-objects,True,True,7,0.0,7,3,9.0,-6
java-design-patterns,anti-corruption-layer,True,True,605,0.0,605,18,30.0,-12
