release1,release2,value
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.0.3,21.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.0.2,23.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.0.0,23.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.1.12,59.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.1.11,59.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.1.10,59.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.3.31,243.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.3.30,244.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.3.24,248.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.3.23,249.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.3.22,249.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.1.7,59.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.1.5,58.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.1.4,57.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.3.20,253.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:3.0.3.RELEASE,725.0
org.xmlbeam:xmlprojector:1.4.24,org.xmlbeam:xmlprojector:1.4.20,2.0
org.xmlbeam:xmlprojector:1.4.24,org.xmlbeam:xmlprojector:1.4.18,5.0
io.reactivex.rxjava3:rxjava:3.1.6,io.reactivex.rxjava3:rxjava:3.1.9,9.0
io.reactivex.rxjava3:rxjava:3.1.6,io.reactivex.rxjava3:rxjava:3.0.13,173.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.3.17,256.0
io.reactivex.rxjava3:rxjava:3.1.6,io.reactivex.rxjava3:rxjava:3.1.5,27.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.3.15,256.0
io.reactivex.rxjava3:rxjava:3.1.6,io.reactivex.rxjava3:rxjava:3.0.10,181.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.3.19,255.0
io.reactivex.rxjava3:rxjava:3.1.6,io.reactivex.rxjava3:rxjava:3.1.8,8.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.3.18,255.0
io.reactivex.rxjava3:rxjava:3.1.6,io.reactivex.rxjava3:rxjava:3.1.7,8.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.2.0.RELEASE,307.0
org.springframework:spring-web:5.3.27,org.springframework:spring-web:5.3.26,0.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.0.4,21.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.0.17,22.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.1.3,56.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.1.2,52.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.1.1,51.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.1.0,51.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.0.21,22.0
com.fasterxml.jackson.core:jackson-annotations:2.12.4,com.fasterxml.jackson.core:jackson-annotations:2.14.1,1.0
